criterion,max_depth,max_features,min_samples_split,F1,Std,Time,No,Attack
gini,7,38,3,0.9634751718294827,0.005216470746140129,0.325,4,ARP
gini,25,12,8,0.9452796020321121,0.022137763943976634,0.272,5,ARP
gini,27,33,6,0.95811279457405,0.005745876973177792,0.297,6,ARP
entropy,25,22,8,0.9515581131971006,0.012594368317834276,0.26,7,ARP
gini,31,22,3,0.9627097336600482,0.010128451978033626,0.223,8,ARP
gini,10,5,7,0.9369428828488365,0.014416458653473432,0.189,9,ARP
gini,20,4,3,0.9384899049252311,0.020399295555036393,0.198,10,ARP
entropy,5,23,3,0.9559377594925584,0.009150101328589082,0.361,11,ARP
gini,28,15,7,0.9522722773911785,0.013245367652167718,0.228,12,ARP
gini,8,33,7,0.9556057425050829,0.004540517190839161,0.289,13,ARP
gini,16,7,3,0.947515956297859,0.014016281252569887,0.233,14,ARP
entropy,13,8,6,0.9456332677055052,0.02746171462865412,0.3,15,ARP
entropy,29,34,9,0.9568668838909536,0.007379109612342311,0.275,16,ARP
gini,17,35,4,0.957654080076165,0.003574323035497546,0.275,17,ARP
gini,9,26,6,0.9593848568857247,0.008543098029588041,0.266,18,ARP
entropy,6,31,9,0.9602776336021153,0.009404194435545214,0.286,19,ARP
gini,18,32,3,0.96053801790148,0.005634814623037935,0.325,20,ARP
entropy,28,34,5,0.9580329343797949,0.006956626013953738,0.278,21,ARP
gini,12,38,2,0.9634816073952948,0.0036208165241141217,0.279,22,ARP
entropy,27,11,5,0.9578828399739653,0.014105166157104184,0.226,23,ARP
entropy,30,26,3,0.9597921972494399,0.008854462829364617,0.21,24,ARP
gini,19,26,8,0.9556672770661516,0.010339062193538933,0.204,25,ARP
entropy,25,21,9,0.954704381021714,0.007029785873134676,0.225,26,ARP
entropy,15,24,6,0.9571079906379278,0.01081771602434007,0.225,27,ARP
gini,28,29,3,0.9594978998333836,0.007606607643389665,0.239,28,ARP
gini,29,32,4,0.9621328084940476,0.0068116103755079095,0.243,29,ARP
entropy,5,15,8,0.9591015198828778,0.009293813005873822,0.248,30,ARP
gini,27,11,3,0.9614515277299972,0.008288828571024729,0.185,31,ARP
gini,19,39,4,0.9645282253471738,0.007453964637471555,0.229,32,ARP
gini,18,34,6,0.9588783821132913,0.00691536021870952,0.252,33,ARP
entropy,18,31,7,0.9603305333229268,0.008085948209129518,0.228,34,ARP
entropy,24,20,4,0.9643168643407483,0.010966552352875575,0.25,35,ARP
entropy,26,19,3,0.9516708936147265,0.010187184505137127,0.593,36,ARP
gini,5,37,2,0.9636416517551633,0.001595844700351437,0.264,37,ARP
gini,8,5,3,0.9454194266050884,0.018453407271619007,0.261,38,ARP
entropy,31,16,7,0.9542826366595494,0.00998610402828158,0.535,39,ARP
entropy,13,23,3,0.9651532915000007,0.008548011559712212,0.306,40,ARP
gini,7,13,8,0.9548621378328569,0.008358295944274462,0.251,41,ARP
entropy,9,16,3,0.9640156477338389,0.008413675000451164,0.326,42,ARP
entropy,30,32,8,0.9618208888116705,0.009011965992347175,0.51,43,ARP
gini,6,18,5,0.9595300261757599,0.010453085906478558,0.209,44,ARP
gini,26,15,8,0.9578601970623829,0.016719750525893123,0.199,45,ARP
entropy,15,17,9,0.9474413228590803,0.004277121152041686,0.254,46,ARP
gini,20,24,6,0.9561925379729832,0.006714239006870744,0.284,47,ARP
entropy,9,12,9,0.949965278915867,0.011602174553739426,0.479,48,ARP
gini,32,31,2,0.9653991354325393,0.004642405907062371,0.225,49,ARP
entropy,26,15,6,1.0,0.0,0.346,0,SP
entropy,30,30,6,1.0,0.0,0.397,1,SP
gini,27,21,6,1.0,0.0,0.857,2,SP
gini,10,10,3,0.9942532396418626,0.01724028107441231,0.519,3,SP
gini,9,26,2,1.0,0.0,0.371,4,SP
entropy,23,5,2,1.0,0.0,0.314,5,SP
gini,30,11,7,1.0,0.0,0.29,6,SP
entropy,5,17,2,1.0,0.0,0.3,7,SP
gini,26,7,9,0.9937801421350942,0.0178017021531018,0.303,8,SP
gini,4,13,8,1.0,0.0,0.334,9,SP
entropy,25,16,3,1.0,0.0,0.358,10,SP
entropy,3,15,9,1.0,0.0,0.29,11,SP
entropy,7,14,4,1.0,0.0,0.348,12,SP
gini,31,23,4,1.0,0.0,0.367,13,SP
gini,26,4,4,1.0,0.0,0.478,14,SP
gini,31,12,7,1.0,0.0,0.287,15,SP
gini,2,27,7,1.0,0.0,0.375,16,SP
entropy,21,19,3,1.0,0.0,0.562,17,SP
entropy,19,2,4,0.994186187180255,0.01686798017280955,0.569,18,SP
entropy,22,22,9,1.0,0.0,0.356,19,SP
entropy,23,25,4,1.0,0.0,0.309,20,SP
gini,25,22,9,1.0,0.0,0.375,21,SP
entropy,2,21,3,1.0,0.0,0.634,22,SP
gini,31,18,5,1.0,0.0,0.512,23,SP
entropy,27,16,5,1.0,0.0,0.415,24,SP
gini,28,24,2,1.0,0.0,0.337,25,SP
gini,22,2,2,0.9998269265152869,0.00034614696942609764,0.341,26,SP
gini,7,26,2,1.0,0.0,0.343,27,SP
gini,20,5,2,1.0,0.0,0.404,28,SP
gini,21,2,3,1.0,0.0,0.521,29,SP
entropy,24,27,5,1.0,0.0,0.408,30,SP
entropy,21,30,8,1.0,0.0,0.385,31,SP
entropy,24,1,7,0.9993017191125901,0.0018247188468704795,0.41,32,SP
gini,16,23,5,1.0,0.0,0.332,33,SP
entropy,2,16,3,0.9935001394589108,0.01949958162326776,0.295,34,SP
entropy,26,4,3,0.9826731821832313,0.026279534030078933,0.405,35,SP
gini,21,4,7,0.9918404854258689,0.017514983977530936,0.674,36,SP
gini,6,18,6,1.0,0.0,0.322,37,SP
gini,31,27,8,1.0,0.0,0.281,38,SP
entropy,15,24,4,1.0,0.0,0.305,39,SP
entropy,10,19,4,1.0,0.0,0.329,40,SP
gini,31,4,9,0.9980514589069196,0.004724520486941428,0.352,41,SP
entropy,15,12,2,1.0,0.0,0.513,42,SP
entropy,23,21,4,1.0,0.0,0.398,43,SP
gini,16,15,9,1.0,0.0,0.334,44,SP
entropy,15,7,5,0.9999134632576435,0.0002596102270695733,0.308,45,SP
gini,14,6,5,1.0,0.0,0.354,46,SP
gini,17,13,8,1.0,0.0,0.36,47,SP
gini,11,23,7,1.0,0.0,0.297,48,SP
entropy,3,6,8,0.9789057058277744,0.032735760042167765,0.386,49,SP
entropy,12,1,3,0.4817426221474947,0.1677170450497659,3.881,0,BF
entropy,5,2,9,0.4757126394391603,0.15996702588514194,3.363,1,BF
entropy,18,4,2,0.49615531692328607,0.10397759161349067,5.444,2,BF
gini,20,2,2,0.5652409778772165,0.08916365826901315,3.913,3,BF
entropy,16,5,6,0.5428117891595934,0.10553186394611856,4.741,4,BF
gini,32,7,3,0.638718761008626,0.169960188112793,5.704,5,BF
entropy,16,7,6,0.553733872616879,0.11819219717051789,5.95,6,BF
entropy,20,3,7,0.5725606904640261,0.16959075431546913,3.955,7,BF
entropy,12,7,4,0.5596333673257458,0.10629031196799592,5.207,8,BF
gini,19,5,6,0.6482798040481786,0.10015788917045153,4.683,9,BF
gini,28,5,3,0.6349060029475533,0.15310907151570577,5.108,10,BF
entropy,19,5,8,0.6039184000453299,0.14296272389502787,4.443,11,BF
gini,5,1,8,0.47206401565325207,0.18232617638725507,2.644,12,BF
gini,11,3,6,0.5696379872198802,0.12120561379271166,4.042,13,BF
entropy,21,3,5,0.5327290669243745,0.14705431918447476,4.272,14,BF
gini,30,7,3,0.5528948253461007,0.14649315526026757,5.512,15,BF
gini,24,7,8,0.6436589194596617,0.12943816598884747,4.574,16,BF
gini,17,6,7,0.5709757695076959,0.11563071706445006,4.717,17,BF
entropy,30,2,2,0.5270877765182653,0.1822025027008687,3.399,18,BF
gini,21,2,9,0.547138884491171,0.16420912108523125,3.999,19,BF
gini,20,7,7,0.6641999348270908,0.1307051030206962,5.652,20,BF
gini,15,2,5,0.4941564243440676,0.1286361274753358,4.348,21,BF
entropy,4,7,3,0.5998022155102422,0.2368143922242589,4.115,22,BF
entropy,7,2,6,0.5140726384313434,0.1662083499895134,3.448,23,BF
gini,27,7,9,0.6016775091923842,0.1291983874090819,4.783,24,BF
entropy,13,7,2,0.5564883312325888,0.11292216809496139,5.18,25,BF
entropy,17,1,6,0.47152655042657665,0.1518626227283439,2.943,26,BF
gini,17,2,8,0.5340111378264824,0.18614407500713365,3.62,27,BF
gini,20,4,5,0.5887380138061028,0.10633814106219643,4.556,28,BF
gini,4,3,5,0.5444149161221219,0.17873069179996492,3.346,29,BF
entropy,20,5,7,0.5546094841436269,0.09472703780427273,4.707,30,BF
entropy,10,7,4,0.5579984144473894,0.0980407751632738,5.273,31,BF
gini,3,2,9,0.5101379650553042,0.19688448199028863,3.198,32,BF
gini,10,5,4,0.505624574304749,0.1461857630799588,3.724,33,BF
entropy,4,5,5,0.553046800804179,0.20457686198483488,3.82,34,BF
entropy,26,5,4,0.5563379406430417,0.13947870804927562,5.727,35,BF
entropy,29,4,3,0.4533880966706748,0.1549271408789077,3.869,36,BF
gini,16,3,2,0.6171114115236115,0.11743977643692464,3.738,37,BF
gini,23,1,7,0.5650622896070103,0.1669748619402836,3.103,38,BF
gini,17,1,5,0.5331301236391484,0.17324867729711463,4.237,39,BF
gini,11,1,2,0.4877372710878939,0.12245212174169129,3.324,40,BF
entropy,16,7,7,0.5649065665519878,0.11039474443810487,4.771,41,BF
gini,19,3,6,0.5824440177874656,0.12814731183659653,3.835,42,BF
gini,8,2,4,0.49141200991929834,0.14294947931445667,3.518,43,BF
entropy,21,1,7,0.5200473472705325,0.13623833366447263,3.533,44,BF
entropy,31,5,5,0.5712078795814195,0.08348579941609988,4.362,45,BF
gini,30,1,6,0.5754226545533229,0.15340346712594366,3.004,46,BF
entropy,32,2,3,0.5690989727181425,0.1604411264458844,3.566,47,BF
gini,9,5,3,0.5971489168474863,0.16121047011766432,4.331,48,BF
gini,31,6,4,0.5751730361235097,0.09799556222035945,4.394,49,BF
