C,penalty,Solver,F1,Std,Time,No,Attack
0.0177593932782385,l2,liblinear,0.9438396176314392,0.0,3.041,5,ARP
0.31107913517117286,l2,newton-cg,0.9341626358890858,0.0,6.985,6,ARP
2.618086321565757e-05,l2,liblinear,0.9412049095622852,1.1102230246251565e-16,1.86,7,ARP
0.029763720861036493,l2,liblinear,0.9315406793782856,0.0,1.659,8,ARP
0.6128333443708177,l2,liblinear,0.9387341283252064,0.0,2.63,9,ARP
95.38562218032791,l2,liblinear,0.9973954026894841,0.0,1.965,0,SP
4.211632514642123,l2,newton-cg,0.9382526582951038,1.1102230246251565e-16,6.736,1,SP
0.003581749871906473,l2,liblinear,0.9295018404235144,1.1102230246251565e-16,1.119,2,SP
10.049166386817674,l2,lbfgs,0.9425323964186256,0.0,4.812,3,SP
23.33194943297302,l2,liblinear,0.9425323964186256,0.0,3.263,4,SP
0.00016057574877806376,l2,newton-cg,0.9317139175942204,0.0,5.53,5,SP
0.0001865689794556903,l2,lbfgs,0.9425323964186256,0.0,3.565,6,SP
17.32539046970768,l2,liblinear,0.9973954026894841,0.0,1.978,7,SP
69.04306345790391,l2,lbfgs,0.9028227863372363,0.0,3.806,8,SP
0.0035408471694462363,l2,lbfgs,0.9425323964186256,0.0,5.401,9,SP
19.939917885610733,l2,liblinear,0.3161659243587106,0.0,11.748,0,BF
0.00013248295390495574,l2,lbfgs,0.3161659243587106,0.0,5.708,1,BF
2.998021690217488,l2,lbfgs,0.3161659243587106,0.0,5.355,2,BF
0.17961665601901153,l2,lbfgs,0.31622085158446134,0.0,5.68,3,BF
0.012748219441408339,l2,liblinear,0.3161659243587106,0.0,7.389,4,BF
0.0053635800428429165,l2,liblinear,0.3161659243587106,0.0,6.709,5,BF
4.7812508511258745e-05,l2,lbfgs,0.31619888125044066,0.0,4.547,6,BF
4.621258054744242,l2,lbfgs,0.3161659243587106,0.0,5.365,7,BF
1.2294721559806704e-05,l2,lbfgs,0.3161769101747216,0.0,6.186,8,BF
0.024629599287356165,l2,lbfgs,0.3161659243587106,0.0,6.446,9,BF
11.099951218008162,l2,newton-cg,0.7493227882455811,0.0,21.253,0,OS
64.90746101716869,l2,newton-cg,0.7552597618673862,0.0,17.559,1,OS
0.008917052251250768,l2,newton-cg,0.755137831666201,0.0,20.017,2,OS
39.16616411842965,l2,newton-cg,0.7552758777341793,0.0,18.347,3,OS
0.017423081970955333,l2,newton-cg,0.7557841216822079,0.0,23.708,4,OS
75.07161882315604,l2,newton-cg,0.7521180793665612,0.0,13.25,5,OS
0.06080947828964959,l2,lbfgs,0.7045912327219856,0.0,2.514,6,OS
0.003179190369377796,l2,newton-cg,0.751517947140929,0.0,15.018,7,OS
0.3016709303860529,l2,newton-cg,0.7475855920952057,0.0,19.079,8,OS
0.12095329363009492,l2,newton-cg,0.7538698353369896,0.0,20.159,9,OS
0.03319732711513809,l2,newton-cg,0.9706865589169775,0.0,4.982,0,SCHD
0.003431434264711715,l2,lbfgs,0.807933523311221,1.1102230246251565e-16,2.056,1,SCHD
0.0001327454602572036,l2,newton-cg,0.9578124502974201,1.1102230246251565e-16,4.736,2,SCHD
43.586072643712306,l2,newton-cg,0.9389811403222901,0.0,4.406,3,SCHD
1.403941751512702,l2,newton-cg,0.9667439819458374,0.0,6.958,4,SCHD
3.609961661402536,l2,newton-cg,0.9578124502974201,1.1102230246251565e-16,6.398,5,SCHD
0.01628054334492163,l2,newton-cg,0.9584299774322969,0.0,6.163,6,SCHD
0.0012544581982037522,l2,newton-cg,0.9389811403222901,0.0,7.664,7,SCHD
7.101925815661884e-05,l2,newton-cg,0.9389811403222901,0.0,4.551,8,SCHD
0.0019963754283374383,l2,lbfgs,0.8121857962189336,0.0,1.739,9,SCHD
8.939675406969264e-05,l2,liblinear,0.4122418191902385,0.0,2.526,0,MHDis
0.8974664819978905,l2,newton-cg,0.4122418191902385,0.0,6.365,1,MHDis
2.5464026734146237,l2,newton-cg,0.4122418191902385,0.0,6.194,2,MHDis
